scenario_id,week_start,plant_id,region_id,model_code,trim_code,color_code,allocated_qty,implied_lead_days
1,2025-08-04,BER,WC,MY,ST,BK,36,24
1,2025-08-04,BER,WC,MY,ST,WH,37,24
1,2025-08-11,AUS,CC,M3,PR,BK,71,5
1,2025-08-11,FRE,CC,M3,PR,BK,77,9
1,2025-08-11,SHA,CC,M3,PR,BK,71,23
1,2025-08-11,BER,CC,M3,PR,BK,14,25
1,2025-08-11,AUS,CC,M3,PR,BL,20,5
1,2025-08-11,FRE,CC,M3,PR,BL,20,9
1,2025-08-11,SHA,CC,M3,PR,BL,16,23
1,2025-08-11,BER,CC,M3,PR,BL,16,25
1,2025-08-11,AUS,CC,M3,PR,GY,36,5
1,2025-08-11,FRE,CC,M3,PR,GY,32,9
1,2025-08-11,SHA,CC,M3,PR,GY,61,23
1,2025-08-11,BER,CC,M3,PR,GY,50,25
1,2025-08-11,AUS,CC,M3,PR,WH,89,5
1,2025-08-11,FRE,CC,M3,PR,WH,77,9
1,2025-08-11,AUS,CC,M3,ST,BK,138,5
1,2025-08-11,AUS,CC,M3,ST,BL,46,5
1,2025-08-11,FRE,CC,M3,ST,BL,43,9
1,2025-08-11,SHA,CC,M3,ST,BL,55,23
1,2025-08-11,BER,CC,M3,ST,BL,10,25
1,2025-08-11,AUS,CC,M3,ST,GY,95,5
1,2025-08-11,FRE,CC,M3,ST,GY,69,9
1,2025-08-11,AUS,CC,M3,ST,WH,159,5
1,2025-08-11,AUS,CC,MY,PR,BK,47,5
1,2025-08-11,FRE,CC,MY,PR,BK,44,9
1,2025-08-11,SHA,CC,MY,PR,BK,52,23
1,2025-08-11,BER,CC,MY,PR,BK,48,25
1,2025-08-11,AUS,CC,MY,PR,BL,16,5
1,2025-08-11,FRE,CC,MY,PR,BL,6,9
1,2025-08-11,SHA,CC,MY,PR,BL,19,23
1,2025-08-11,BER,CC,MY,PR,BL,16,25
1,2025-08-11,AUS,CC,MY,PR,GY,25,5
1,2025-08-11,FRE,CC,MY,PR,GY,28,9
1,2025-08-11,SHA,CC,MY,PR,GY,33,23
1,2025-08-11,BER,CC,MY,PR,GY,24,25
1,2025-08-11,AUS,CC,MY,PR,WH,53,5
1,2025-08-11,FRE,CC,MY,PR,WH,57,9
1,2025-08-11,SHA,CC,MY,PR,WH,61,23
1,2025-08-11,BER,CC,MY,PR,WH,40,25
1,2025-08-11,AUS,CC,MY,ST,BK,117,5
1,2025-08-11,FRE,CC,MY,ST,BK,83,9
1,2025-08-11,AUS,CC,MY,ST,BL,29,5
1,2025-08-11,FRE,CC,MY,ST,BL,27,9
1,2025-08-11,SHA,CC,MY,ST,BL,28,23
1,2025-08-11,BER,CC,MY,ST,BL,32,25
1,2025-08-11,AUS,CC,MY,ST,GY,62,5
1,2025-08-11,FRE,CC,MY,ST,GY,75,9
1,2025-08-11,SHA,CC,MY,ST,GY,75,23
1,2025-08-11,BER,CC,MY,ST,GY,19,25
1,2025-08-11,AUS,CC,MY,ST,WH,110,5
1,2025-08-11,FRE,CC,MY,ST,WH,123,9
1,2025-08-11,BER,EC,M3,PR,BK,70,26
1,2025-08-11,FRE,EC,M3,PR,WH,8,12
1,2025-08-11,SHA,EC,M3,PR,WH,84,24
1,2025-08-11,BER,EC,M3,PR,WH,80,26
1,2025-08-11,AUS,EC,M3,ST,BK,17,10
1,2025-08-11,FRE,EC,M3,ST,BK,181,12
1,2025-08-11,SHA,EC,M3,ST,BK,105,24
1,2025-08-11,BER,EC,M3,ST,BL,39,26
1,2025-08-11,FRE,EC,M3,ST,GY,46,12
1,2025-08-11,SHA,EC,M3,ST,GY,86,24
1,2025-08-11,BER,EC,M3,ST,GY,103,26
1,2025-08-11,AUS,EC,M3,ST,WH,16,10
1,2025-08-11,FRE,EC,M3,ST,WH,169,12
1,2025-08-11,SHA,EC,M3,ST,WH,59,24
1,2025-08-11,FRE,EC,MY,ST,BK,39,12
1,2025-08-11,SHA,EC,MY,ST,BK,115,24
1,2025-08-11,BER,EC,MY,ST,BK,93,26
1,2025-08-11,BER,EC,MY,ST,GY,54,26
1,2025-08-11,FRE,EC,MY,ST,WH,6,12
1,2025-08-11,SHA,EC,MY,ST,WH,134,24
1,2025-08-11,BER,EC,MY,ST,WH,110,26
1,2025-08-11,SHA,WC,M3,ST,BK,89,22
1,2025-08-11,BER,WC,M3,ST,BK,83,24
1,2025-08-11,SHA,WC,M3,ST,WH,132,22
1,2025-08-11,BER,WC,M3,ST,WH,12,24
1,2025-08-11,BER,WC,MY,ST,BK,33,24
1,2025-08-18,AUS,CC,M3,PR,BK,96,5
1,2025-08-18,FRE,CC,M3,PR,BK,70,9
1,2025-08-18,SHA,CC,M3,PR,BK,19,23
1,2025-08-18,AUS,CC,M3,PR,BL,30,5
1,2025-08-18,FRE,CC,M3,PR,BL,37,9
1,2025-08-18,SHA,CC,M3,PR,BL,23,23
1,2025-08-18,BER,CC,M3,PR,BL,20,25
1,2025-08-18,AUS,CC,M3,PR,GY,47,5
1,2025-08-18,FRE,CC,M3,PR,GY,53,9
1,2025-08-18,SHA,CC,M3,PR,GY,55,23
1,2025-08-18,BER,CC,M3,PR,GY,40,25
1,2025-08-18,AUS,CC,M3,PR,WH,78,5
1,2025-08-18,FRE,CC,M3,PR,WH,95,9
1,2025-08-18,SHA,CC,M3,PR,WH,1,23
1,2025-08-18,AUS,CC,M3,ST,BK,165,5
1,2025-08-18,AUS,CC,M3,ST,BL,49,5
1,2025-08-18,FRE,CC,M3,ST,BL,61,9
1,2025-08-18,SHA,CC,M3,ST,BL,49,23
1,2025-08-18,AUS,CC,M3,ST,GY,107,5
1,2025-08-18,FRE,CC,M3,ST,GY,41,9
1,2025-08-18,AUS,CC,M3,ST,WH,147,5
1,2025-08-18,AUS,CC,MY,PR,BK,74,5
1,2025-08-18,FRE,CC,MY,PR,BK,46,9
